product,description,review,rating,price,num_ratings,num_reviews,ram_gb,storage_gb,display_inch,camera_mp,battery_mah,warranty_years
"OnePlus 13R 5G (Nebula Noir, 512 GB)",16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,124 Ratings & 10 Reviews,4.5,45885.0,124.0,10.0,16.0,512.0,6.78,50.0,6000.0,1.0
"SAMSUNG Galaxy S24 FE 5G (Graphite, 256 GB)",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,695 Ratings & 59 Reviews,4.5,47999.0,695.0,59.0,8.0,256.0,6.7,50.0,4700.0,1.0
"Motorola Edge 50 Ultra 5G (Nordic Wood, 512 GB)",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,"2,485 Ratings & 273 Reviews",4.4,49999.0,485.0,273.0,12.0,512.0,6.7,50.0,4500.0,1.0
"Apple 13 (Midnight, 128 GB)",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,"98,026 Ratings & 4,146 Reviews",4.6,44999.0,26.0,146.0,8.0,128.0,6.1,50.0,5000.0,1.0
"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,695 Ratings & 59 Reviews,4.5,41999.0,695.0,59.0,8.0,128.0,6.7,50.0,4700.0,1.0
"Apple iPhone 13 (Blue, 128 GB)",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,"1,90,791 Ratings & 9,683 Reviews",4.6,44999.0,791.0,683.0,8.0,128.0,6.1,50.0,5000.0,1.0
"vivo V50 5G (Rose Red, 512 GB)",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,658 Ratings & 76 Reviews,4.5,40999.0,658.0,76.0,12.0,512.0,6.77,50.0,6000.0,1.0
"OnePlus 13R 5G (Nebula Noir, 256 GB)",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,554 Ratings & 53 Reviews,4.5,41046.0,554.0,53.0,12.0,256.0,6.78,50.0,6000.0,1.0
"OnePlus 13R 5G (Astral Trail, 512 GB)",16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,124 Ratings & 10 Reviews,4.5,45958.0,124.0,10.0,16.0,512.0,6.78,50.0,6000.0,1.0
"vivo V50 5G (Titanium Grey, 512 GB)",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,658 Ratings & 76 Reviews,4.5,40999.0,658.0,76.0,12.0,512.0,6.77,50.0,6000.0,1.0
